LAD 2021 Code,LAD 2021 Name,LSOA 2021 Code,LSOA 2021 Name,LA Name,Total,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
E06000015,Derby,E01013465,Derby 002A,Derby,769,3,9,5,6,5,11,11,10,7,8,6,9,11,13,18,9,8,9,14,8,5,7,8,1,5,6,9,9,4,6,10,7,2,0,9,7,8,13,3,8,9,8,10,7,3,9,11,13,14,12,7,12,10,14,13,10,18,15,14,14,7,8,10,11,10,4,6,8,14,3,7,9,8,13,8,11,12,7,14,8,5,3,4,7,5,5,10,3,7,1,11
E06000015,Derby,E01013466,Derby 002B,Derby,707,3,10,5,2,5,9,8,8,5,8,5,7,5,9,7,7,7,5,8,7,8,5,4,7,10,8,6,1,10,6,9,3,1,6,5,9,7,10,3,7,14,12,5,9,7,5,7,6,6,6,12,12,8,9,15,19,10,14,18,14,16,17,7,12,11,11,11,8,10,9,7,7,10,10,8,11,9,9,6,6,4,2,4,5,4,5,1,5,5,5,9
E06000015,Derby,E01013467,Derby 002C,Derby,663,19,7,12,17,7,5,4,7,6,4,8,8,9,7,3,6,6,5,7,6,10,10,6,6,5,6,6,6,3,2,6,7,6,9,11,5,9,7,11,13,8,9,10,7,5,9,8,5,9,4,6,11,11,8,5,7,7,11,9,7,5,8,5,7,6,8,9,3,5,7,11,9,10,7,6,6,7,10,14,8,3,4,6,1,8,6,7,6,7,8,3
E06000015,Derby,E01013468,Derby 002D,Derby,777,3,2,4,7,3,8,7,9,10,16,12,15,11,2,8,6,12,9,8,6,5,7,4,3,8,7,7,7,5,4,5,3,11,5,6,7,12,12,7,10,12,9,9,6,14,7,4,6,10,6,10,12,14,14,6,14,11,15,7,10,11,9,17,10,14,7,11,6,11,13,10,10,11,8,20,10,12,10,5,6,4,6,4,6,9,7,8,6,7,10,10
E06000015,Derby,E01013469,Derby 002E,Derby,627,1,7,3,2,7,16,4,6,8,6,2,1,2,3,5,3,2,6,2,1,6,3,5,4,5,5,3,4,4,3,7,6,7,9,7,6,7,6,7,6,5,9,6,3,4,13,9,7,7,5,6,13,7,3,5,6,9,11,5,8,5,7,11,4,6,5,5,11,6,10,8,14,6,12,16,9,14,13,7,10,13,7,12,9,12,8,9,6,9,6,19
E06000015,Derby,E01013470,Derby 024A,Derby,680,5,14,6,9,5,13,7,14,17,10,8,8,9,9,10,6,6,6,4,9,5,7,5,5,5,6,8,4,6,5,13,13,10,11,11,12,7,20,9,9,8,8,6,9,4,4,5,4,8,9,10,9,11,9,11,7,16,12,6,7,12,9,12,10,4,9,6,6,4,5,11,6,6,2,10,9,0,7,4,2,4,2,2,1,3,2,3,3,3,5,9
E06000015,Derby,E01013471,Derby 025A,Derby,907,13,12,10,7,16,18,10,9,13,13,8,12,13,11,15,14,9,14,9,11,10,9,17,12,13,14,20,14,21,15,15,21,20,23,15,19,16,12,9,11,19,20,10,13,16,11,9,6,9,11,13,6,6,17,16,14,10,18,13,8,9,8,11,10,10,8,3,4,4,4,3,3,4,3,0,3,2,3,4,1,2,4,2,3,1,4,0,2,0,3,1
E06000015,Derby,E01013472,Derby 026A,Derby,"1,219",22,17,11,17,17,14,18,21,17,19,27,11,22,19,19,15,13,11,13,12,11,6,19,7,10,22,25,37,15,27,17,10,17,19,21,39,49,38,30,41,17,16,17,12,12,7,9,14,13,11,11,7,6,11,11,17,10,14,14,11,9,9,9,7,6,14,16,10,15,3,4,6,4,2,5,10,3,7,4,5,5,2,3,4,8,2,3,0,2,1,6
E06000015,Derby,E01013473,Derby 025B,Derby,846,14,19,13,10,8,11,12,16,7,10,13,9,13,6,8,7,9,12,13,5,8,12,9,6,13,11,14,16,24,10,13,18,11,8,12,15,16,12,11,8,18,21,13,10,14,6,7,10,15,13,7,12,9,7,18,6,15,9,11,9,9,8,9,4,6,6,8,5,8,7,4,8,3,9,3,6,6,4,3,5,9,5,4,3,2,1,2,0,1,2,4
E06000015,Derby,E01013474,Derby 024B,Derby,798,9,10,10,13,17,10,8,9,10,12,12,10,7,10,15,5,7,5,7,7,7,7,11,11,7,7,11,10,8,7,10,9,15,14,9,8,10,6,10,11,8,9,11,10,7,9,3,10,7,14,9,14,6,15,6,13,11,6,10,8,18,6,11,14,4,7,11,13,10,16,11,9,10,13,9,11,7,12,3,2,0,6,5,4,4,4,2,2,2,0,5
E06000015,Derby,E01013475,Derby 025C,Derby,801,16,14,23,16,14,20,14,10,23,15,16,19,17,17,16,21,16,7,12,11,9,7,14,11,12,7,4,6,11,10,7,14,13,10,15,7,12,7,14,8,22,17,13,12,9,8,6,5,13,8,9,5,6,14,8,7,7,11,7,4,7,11,5,7,5,4,8,3,4,4,2,3,3,5,1,3,3,2,1,3,0,0,1,4,5,0,0,0,0,0,1
E06000015,Derby,E01013476,Derby 024C,Derby,735,10,7,5,10,3,4,5,4,8,6,3,8,2,5,4,1,4,1,6,5,8,4,4,5,5,8,15,6,17,10,9,10,16,15,14,9,17,15,8,11,5,7,5,4,10,7,7,5,4,11,10,10,11,13,18,11,8,10,16,13,15,12,20,11,16,16,3,7,5,8,11,6,10,6,15,13,4,6,9,5,8,3,5,6,10,2,3,2,3,0,3
E06000015,Derby,E01013477,Derby 025D,Derby,898,13,8,12,26,12,11,10,11,7,9,9,11,5,12,3,7,8,9,10,6,10,11,3,13,8,14,10,12,10,8,15,17,18,15,24,18,9,8,13,9,12,13,14,9,13,12,12,19,12,7,12,17,10,11,20,13,10,22,10,12,13,11,11,11,9,7,12,6,5,3,9,9,2,9,5,6,3,11,9,7,6,4,1,8,5,3,1,1,1,1,5
E06000015,Derby,E01013480,Derby 016A,Derby,"1,294",13,13,12,14,12,6,13,12,10,8,6,9,11,10,7,12,15,20,17,11,18,11,20,23,24,29,39,38,26,29,30,24,29,20,24,27,25,23,29,30,20,24,20,18,15,23,22,18,18,16,16,18,19,18,26,17,17,24,19,22,13,21,15,11,7,12,8,9,9,6,6,5,5,5,3,1,4,2,2,1,0,0,1,0,2,0,0,0,0,0,7
E06000015,Derby,E01013481,Derby 018A,Derby,"1,047",11,24,8,14,14,15,9,25,14,16,23,28,22,29,23,20,15,15,20,13,14,31,23,17,23,19,21,8,14,16,13,7,14,12,13,11,11,11,9,11,20,16,16,12,14,12,21,17,13,16,18,19,14,16,14,11,14,18,9,5,6,1,5,3,5,7,5,6,9,5,9,5,4,4,7,0,0,1,2,1,0,0,0,1,0,0,2,2,1,0,5
E06000015,Derby,E01013483,Derby 016B,Derby,"1,102",17,11,17,17,18,14,14,8,18,20,14,17,10,13,24,12,24,12,16,13,21,22,21,19,15,19,22,19,26,22,15,17,24,18,12,21,24,24,20,14,15,16,12,16,8,21,13,18,20,19,13,10,10,18,15,18,14,14,7,9,9,6,10,6,5,6,8,4,8,8,6,6,4,2,5,6,2,1,1,4,1,0,1,0,1,1,1,0,0,0,0
E06000015,Derby,E01013484,Derby 018C,Derby,"1,164",16,15,14,10,17,22,19,15,22,13,17,19,25,23,24,18,13,13,14,16,25,12,17,15,7,13,19,14,15,17,15,21,18,19,28,15,15,13,19,16,12,19,17,14,17,16,22,16,16,9,19,15,12,11,13,31,26,13,18,9,7,4,3,6,6,5,10,6,6,4,6,4,5,4,3,11,10,8,9,16,2,3,2,0,2,2,4,0,2,5,6
E06000015,Derby,E01013485,Derby 016C,Derby,"1,164",14,32,22,14,24,13,24,20,21,18,19,18,12,19,22,17,17,17,16,16,18,22,32,20,24,13,15,30,34,20,16,19,21,23,17,25,33,24,21,23,17,13,14,12,17,12,14,11,11,8,9,15,18,13,13,8,8,5,6,2,9,11,5,6,8,5,4,8,5,1,4,5,0,3,3,1,2,1,3,1,4,1,2,1,1,2,4,3,4,1,5
E06000015,Derby,E01013486,Derby 018D,Derby,"1,062",19,20,24,17,16,22,22,14,20,12,22,21,29,27,16,21,18,18,16,9,18,21,18,13,26,18,21,21,16,22,16,16,19,12,11,18,14,16,18,16,12,12,12,9,8,18,19,18,15,19,16,11,11,13,8,13,6,8,9,5,7,5,6,6,6,6,4,4,4,4,4,2,3,2,0,1,0,4,0,5,2,1,1,1,0,1,1,2,1,0,4
E06000015,Derby,E01013487,Derby 018E,Derby,"1,363",23,21,19,19,26,24,17,18,17,24,28,29,26,23,30,24,19,20,24,23,27,16,19,13,17,22,21,12,24,25,23,26,29,23,29,18,19,13,15,14,24,22,22,23,18,21,22,10,22,17,40,21,18,25,19,14,12,14,11,8,12,10,5,9,5,6,3,4,6,6,2,6,3,3,0,2,6,1,1,3,2,1,2,1,0,8,4,4,0,3,3
