LAD 2021 Code,LAD 2021 Name,LSOA 2021 Code,LSOA 2021 Name,LA Name,Total,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
E06000015,Derby,E01013465,Derby 002A,Derby,"1,588",8,15,14,12,8,16,17,21,16,16,21,14,17,28,29,23,16,13,27,17,9,11,12,7,10,10,13,17,8,12,18,11,13,3,16,12,18,20,5,14,17,13,27,18,13,14,24,26,21,19,21,27,21,28,37,22,35,30,24,27,9,14,14,20,19,16,15,14,27,10,17,22,16,21,20,29,19,15,25,18,18,17,11,18,13,20,16,9,14,6,35
E06000015,Derby,E01013466,Derby 002B,Derby,"1,542",7,16,13,10,13,11,15,13,15,13,15,12,18,12,21,13,20,14,22,15,15,14,9,11,16,13,10,3,13,13,18,12,7,13,13,11,18,15,7,17,27,21,21,13,21,16,13,14,16,15,30,29,17,20,26,35,24,33,27,24,28,31,22,25,20,20,19,24,20,19,19,15,22,21,21,24,18,19,18,17,12,11,11,9,13,16,7,17,10,15,21
E06000015,Derby,E01013467,Derby 002C,Derby,"1,401",26,13,19,26,14,15,9,18,14,15,16,20,18,12,16,13,10,13,8,9,15,17,9,12,7,13,11,10,7,15,18,12,17,16,15,15,19,20,25,27,14,18,17,12,14,15,20,10,15,15,11,18,17,17,12,20,16,25,21,13,16,15,15,17,16,18,16,12,14,20,17,20,22,14,12,17,13,22,23,18,12,8,15,11,19,10,21,7,11,17,9
E06000015,Derby,E01013468,Derby 002D,Derby,"1,556",8,4,12,10,10,16,18,16,16,25,22,24,16,6,15,13,14,15,12,12,13,12,10,12,15,13,12,11,7,6,10,10,16,11,16,13,26,18,10,16,20,21,24,16,24,20,12,15,17,15,21,19,29,20,14,19,25,29,21,15,30,23,28,24,30,19,21,17,19,25,16,18,25,14,27,24,26,21,13,14,9,15,17,16,15,18,21,8,17,17,32
E06000015,Derby,E01013469,Derby 002E,Derby,"1,310",4,8,7,4,12,18,8,11,12,12,12,5,6,9,9,11,5,13,2,4,13,7,11,10,9,11,10,10,9,10,12,15,16,14,11,11,16,12,14,10,12,12,9,10,10,18,11,11,15,6,10,18,16,8,11,13,17,19,15,17,18,17,14,13,18,10,13,21,17,15,16,23,17,29,39,30,23,20,16,26,28,16,23,23,25,16,26,20,17,12,48
E06000015,Derby,E01013470,Derby 024A,Derby,"1,388",11,19,14,16,14,22,12,25,22,19,33,17,17,19,19,11,16,16,13,15,6,13,11,10,13,10,15,13,12,20,18,26,23,18,25,24,16,28,17,15,16,18,12,15,10,11,10,10,13,19,22,26,18,17,25,11,27,21,19,11,24,18,15,15,10,19,13,18,13,13,17,13,16,3,19,17,5,17,8,9,5,5,10,4,10,5,13,8,7,9,16
E06000015,Derby,E01013471,Derby 025A,Derby,"1,856",24,24,24,17,27,28,17,20,25,26,18,27,25,17,25,26,21,24,19,21,29,25,25,28,23,29,31,32,35,31,34,36,35,46,25,28,36,24,17,25,33,37,29,26,36,21,18,27,16,21,26,15,16,29,29,19,26,31,24,15,19,14,23,14,16,13,6,18,7,7,8,4,7,9,6,40,19,3,29,13,3,8,5,6,4,5,0,3,0,3,1
E06000015,Derby,E01013472,Derby 026A,Derby,"2,325",34,28,25,29,35,25,35,31,33,32,49,29,40,31,41,31,24,29,25,24,21,13,39,16,23,34,35,48,30,43,32,28,36,47,39,59,71,57,42,64,29,34,37,23,24,15,28,29,22,25,21,27,22,17,18,32,31,21,26,18,24,20,23,18,14,19,25,15,24,10,8,12,5,7,12,14,7,13,8,9,10,14,16,17,17,8,9,0,6,13,22
E06000015,Derby,E01013473,Derby 025B,Derby,"1,651",26,35,25,23,23,21,18,25,15,21,25,22,21,14,18,15,18,21,21,14,15,27,17,20,34,24,24,34,39,22,18,26,20,19,23,24,32,33,33,25,24,24,20,18,22,26,15,13,27,29,16,19,17,16,24,17,24,21,18,20,18,14,14,13,12,14,11,10,10,12,18,17,9,21,12,11,9,8,7,6,18,7,8,5,4,2,5,1,1,3,11
E06000015,Derby,E01013474,Derby 024B,Derby,"1,542",17,13,17,19,19,20,13,16,18,19,23,15,14,17,19,20,15,15,16,16,13,10,16,24,13,15,16,17,18,12,26,20,27,26,18,21,24,19,22,21,14,24,19,16,10,15,12,20,18,23,18,23,14,22,12,21,21,18,25,23,31,18,27,23,12,17,16,18,16,21,22,12,14,21,16,24,12,17,8,8,9,13,10,5,9,9,7,8,4,3,25
E06000015,Derby,E01013475,Derby 025C,Derby,"1,696",33,38,39,35,27,34,22,21,44,31,34,28,34,34,30,39,32,20,25,23,19,18,25,13,23,14,17,16,20,21,17,32,25,24,26,33,36,21,37,36,37,32,25,22,20,16,15,13,21,14,22,19,20,25,17,15,15,20,14,13,19,21,10,17,15,9,14,7,9,12,6,5,8,7,3,5,4,6,4,4,1,0,1,4,5,0,0,1,0,0,8
E06000015,Derby,E01013476,Derby 024C,Derby,"1,384",18,16,10,13,8,7,8,9,12,8,6,12,3,9,5,5,8,6,7,6,11,6,9,17,11,17,25,16,30,23,22,23,24,24,18,15,34,21,12,20,11,16,11,9,14,13,13,13,12,20,21,15,22,22,31,27,15,22,31,23,29,28,34,27,33,19,17,15,12,16,20,13,16,21,25,21,12,15,16,13,11,8,7,11,12,3,3,2,3,0,7
E06000015,Derby,E01013477,Derby 025D,Derby,"1,760",25,14,26,37,19,18,27,22,23,17,15,14,15,20,10,15,13,14,21,9,19,18,8,22,13,26,24,29,24,25,28,36,37,36,37,21,18,24,20,24,21,25,25,16,24,17,17,31,19,20,24,25,25,22,31,28,23,35,26,26,30,20,25,18,17,21,18,15,17,12,17,13,9,13,12,16,12,21,17,10,12,6,6,13,7,8,7,4,7,3,11
E06000015,Derby,E01013480,Derby 016A,Derby,"2,260",28,25,25,27,23,19,25,28,18,18,26,25,29,26,16,20,22,32,27,22,27,33,37,41,41,49,59,60,46,51,46,41,43,34,38,43,41,38,46,48,27,37,28,28,27,36,29,29,35,23,31,40,26,22,37,28,33,34,31,33,25,32,25,25,12,16,11,16,13,10,13,11,10,7,7,5,12,8,3,4,0,0,6,2,9,0,0,0,0,0,21
E06000015,Derby,E01013481,Derby 018A,Derby,"2,038",19,37,23,31,32,29,23,41,31,33,39,45,39,45,39,37,32,30,41,33,24,37,36,30,36,31,31,22,27,39,27,25,30,30,27,31,30,24,18,22,38,27,35,25,32,25,33,29,25,33,29,35,26,25,19,21,26,31,21,13,18,8,10,7,13,14,13,11,18,12,12,10,6,8,13,5,1,6,4,2,0,2,1,3,3,4,7,5,4,2,12
E06000015,Derby,E01013483,Derby 016B,Derby,"2,020",27,18,34,26,28,32,30,31,33,31,30,29,29,28,46,25,37,26,32,30,30,39,31,28,28,35,34,35,41,39,29,36,36,30,24,33,34,42,38,28,28,36,29,26,17,30,21,24,29,35,20,21,26,31,32,34,23,26,16,13,16,14,16,10,13,11,16,9,13,11,10,10,10,5,10,7,3,4,3,6,6,8,4,3,3,2,2,2,1,0,3
E06000015,Derby,E01013484,Derby 018C,Derby,"2,240",35,41,26,39,33,54,33,39,53,39,35,42,45,41,42,29,18,26,29,27,43,23,29,28,20,25,39,29,29,34,31,41,34,43,47,33,29,32,39,33,30,33,31,25,29,37,39,23,30,25,30,25,25,22,21,38,30,20,26,14,15,9,12,11,14,9,12,12,10,13,13,11,10,12,7,15,12,10,14,19,5,4,4,4,2,4,9,2,6,7,13
E06000015,Derby,E01013485,Derby 016C,Derby,"2,320",41,61,46,41,46,33,52,53,36,41,43,38,42,34,40,30,34,29,35,28,39,39,51,36,52,28,37,48,55,42,28,35,40,42,34,52,54,49,43,51,27,26,30,24,27,29,25,27,25,17,21,25,31,24,24,18,12,13,13,11,14,14,11,11,16,12,11,11,12,7,9,8,6,5,5,5,7,5,7,3,4,2,3,2,1,3,5,3,5,1,5
E06000015,Derby,E01013486,Derby 018D,Derby,"2,149",32,37,36,41,32,46,42,30,41,33,38,41,48,45,39,34,33,39,29,27,30,32,35,23,38,29,40,38,40,37,29,29,47,36,33,29,32,34,42,35,29,23,30,30,17,31,27,32,23,33,24,23,24,33,19,18,20,14,19,15,13,14,13,13,10,13,10,11,8,8,6,8,5,6,7,1,3,5,4,10,8,4,2,2,2,2,3,9,7,6,21
E06000015,Derby,E01013487,Derby 018E,Derby,"2,720",43,41,34,45,49,47,31,43,48,42,58,49,59,41,66,52,38,44,45,42,44,35,38,31,37,54,43,34,44,45,38,50,51,43,57,46,45,39,39,39,51,46,53,41,42,38,40,28,44,31,59,36,31,47,33,20,19,22,17,18,18,17,12,19,13,10,6,8,11,11,14,9,7,8,2,4,7,2,5,6,4,2,3,2,1,9,6,5,1,4,9
E06000015,Derby,E01013488,Derby 022A,Derby,"1,501",15,11,12,20,16,17,19,15,17,21,18,16,19,23,22,12,12,19,20,11,17,15,16,13,18,15,10,13,22,19,12,21,17,17,16,18,17,18,16,25,14,21,26,15,20,22,15,26,17,23,21,18,15,23,22,17,22,16,14,17,28,25,17,18,13,13,13,13,21,12,19,22,21,24,13,24,13,22,14,14,9,7,3,13,13,8,9,4,2,6,14
E06000015,Derby,E01013489,Derby 022B,Derby,"1,521",13,19,14,11,15,17,15,13,18,9,12,10,15,16,17,10,16,19,23,16,11,18,18,9,9,5,21,3,11,13,21,20,27,14,22,20,19,27,15,26,16,23,16,16,17,18,17,15,24,18,22,20,14,22,14,23,20,24,20,21,29,23,20,16,21,14,21,23,22,24,27,13,24,12,21,26,16,14,19,9,20,8,15,20,5,13,9,6,7,8,9
E06000015,Derby,E01013490,Derby 022C,Derby,"1,560",19,15,21,22,16,17,20,14,14,25,22,13,16,15,25,19,17,13,17,13,14,10,11,10,7,18,16,16,17,15,11,20,17,13,20,8,17,22,14,18,21,22,23,15,21,19,20,22,23,20,14,14,17,19,15,27,36,17,18,42,16,17,21,20,19,18,19,21,18,19,21,15,23,23,19,21,16,9,11,11,8,11,12,4,12,15,14,8,7,16,24
E06000015,Derby,E01013491,Derby 022D,Derby,"1,709",18,22,21,30,26,15,23,13,20,28,31,27,28,23,29,16,24,28,24,25,25,23,15,17,15,20,15,27,24,20,14,17,17,24,21,22,26,26,24,29,23,26,32,24,18,23,24,31,10,27,14,22,24,13,19,21,28,25,15,24,16,12,21,10,13,17,14,16,14,14,16,12,17,13,10,15,15,8,9,16,10,15,12,9,4,10,7,8,6,1,14
E06000015,Derby,E01013492,Derby 027A,Derby,"1,648",16,26,13,27,17,19,23,23,16,19,19,24,15,20,23,18,20,26,19,14,23,19,12,23,20,17,12,21,16,21,14,16,25,19,17,20,12,13,12,17,31,19,22,19,22,17,16,20,18,29,25,19,24,19,20,25,21,24,21,25,23,26,28,11,18,15,12,12,19,17,19,16,12,11,24,15,16,17,13,13,7,3,12,11,11,11,15,12,10,10,27
E06000015,Derby,E01013493,Derby 027B,Derby,"1,610",27,15,23,22,13,23,17,27,19,21,22,13,21,10,14,15,13,8,12,12,15,9,19,21,15,17,18,18,19,21,33,27,28,34,26,18,25,22,20,34,14,26,20,14,17,14,25,19,20,21,17,12,16,14,17,21,21,24,18,23,17,22,16,22,20,20,18,12,18,15,14,21,16,11,14,19,12,10,17,9,8,9,10,21,14,12,13,8,6,7,20
E06000015,Derby,E01013494,Derby 027C,Derby,"1,935",32,13,23,29,21,30,27,31,30,31,30,37,28,32,27,26,17,30,12,20,23,13,12,21,28,25,25,21,28,29,26,31,27,26,25,32,21,26,32,22,22,35,28,27,26,25,19,21,27,20,27,30,19,25,29,30,18,23,22,18,23,23,15,19,15,9,13,13,9,7,10,9,16,22,18,11,15,9,17,7,6,7,5,15,12,22,11,16,21,10,20
